iter	Passed	Remaining
0	1	634
1	3	894
2	4	765
3	5	673
4	6	619
5	7	585
6	7	558
7	8	520
8	9	505
9	10	494
10	10	487
11	11	468
12	12	453
13	12	438
14	13	425
15	13	413
16	14	406
17	14	397
18	15	389
19	15	381
20	16	374
21	16	367
22	17	361
23	17	356
24	18	351
25	19	347
26	19	342
27	20	338
28	20	334
29	21	330
30	21	327
31	22	324
32	22	322
33	23	319
34	23	317
35	24	315
36	25	314
37	25	312
38	26	310
39	26	308
40	27	309
41	28	307
42	28	306
43	29	304
44	29	303
45	30	301
46	31	299
47	31	298
48	32	297
49	32	296
50	33	295
51	34	294
52	34	291
53	35	290
54	35	289
55	36	288
56	37	287
57	37	286
58	38	285
59	38	285
60	39	284
61	40	283
62	40	282
63	41	282
64	42	281
65	42	280
66	43	279
67	43	278
68	44	277
69	45	277
70	45	276
71	46	275
72	46	274
73	47	273
74	48	273
75	48	272
76	49	271
77	50	270
78	50	270
79	51	271
80	52	272
81	53	272
82	54	274
83	56	279
84	58	283
85	60	289
86	61	290
87	62	293
88	64	296
89	65	296
90	65	296
91	66	296
92	67	295
93	68	295
94	70	300
95	71	300
96	73	304
97	75	309
98	76	310
99	78	312
100	79	315
101	81	317
102	87	339
103	88	337
104	89	336
105	91	339
106	92	338
107	92	336
108	93	335
109	94	335
110	96	338
111	98	339
112	99	341
113	101	342
114	102	344
115	103	342
116	104	340
117	104	339
118	105	337
119	106	336
120	106	334
121	111	345
122	112	343
123	112	341
124	113	339
125	113	338
126	114	336
127	115	334
128	116	335
129	117	334
130	118	332
131	118	331
132	119	329
133	120	328
134	120	326
135	121	324
136	122	323
137	122	321
138	123	320
139	124	319
140	125	320
141	127	321
142	128	319
143	128	318
144	129	317
145	130	315
146	130	314
147	132	313
148	132	312
149	133	311
150	134	311
151	136	311
152	138	315
153	139	313
154	140	312
155	140	310
156	141	309
157	142	307
158	142	305
159	143	304
160	144	304
161	145	303
162	146	302
163	146	301
164	148	300
165	148	299
166	149	297
167	149	296
168	150	294
169	151	293
170	151	291
171	152	290
172	152	289
173	153	287
174	154	286
175	154	285
176	155	283
177	156	282
178	156	281
179	157	279
180	157	278
181	158	277
182	159	275
183	159	274
184	160	273
185	161	272
186	161	270
187	162	269
188	163	268
189	163	266
190	164	265
191	164	264
192	165	263
193	166	262
194	166	260
195	167	260
196	168	259
197	169	258
198	169	257
199	170	255
200	171	254
201	171	253
202	172	252
203	172	250
204	173	249
205	174	248
206	174	247
207	175	246
208	176	245
209	176	243
210	177	242
211	177	241
212	178	240
213	179	239
214	179	238
215	180	237
216	181	236
217	181	234
218	182	233
219	182	232
220	183	231
221	184	230
222	184	229
223	185	229
224	186	228
225	187	227
226	188	226
227	188	225
228	189	224
229	190	223
230	191	222
231	192	222
232	193	221
233	193	220
234	194	219
235	195	218
236	196	217
237	196	216
238	197	215
239	198	214
240	198	213
241	199	212
242	200	211
243	201	210
244	201	209
245	202	209
246	203	208
247	203	207
248	204	206
249	205	205
250	205	204
251	206	203
252	207	202
253	208	201
254	208	200
255	209	199
256	210	198
257	211	197
258	211	197
259	212	196
260	213	195
261	213	194
262	214	193
263	215	192
